fulldate,month,dayofmonth,bankholiday,schoolholiday,weekend,mean,max
6.11.2019,11,6,False,False,False,31.20833333,71
7.11.2019,11,7,False,False,False,30.19097222,69
8.11.2019,11,8,False,False,False,32.97222222,74
9.11.2019,11,9,False,False,True,29.55208333,63
10.11.2019,11,10,False,False,True,22.56944444,49
11.11.2019,11,11,False,False,False,26.40972222,60
12.11.2019,11,12,False,False,False,29.36111111,63
13.11.2019,11,13,False,False,False,28.36805556,65
14.11.2019,11,14,False,False,False,33.60069444,76
15.11.2019,11,15,False,False,False,32.81944444,72
16.11.2019,11,16,False,True,True,31.93402778,69
17.11.2019,11,17,False,True,True,25.40277778,58
18.11.2019,11,18,False,True,False,31.01388889,69
19.11.2019,11,19,False,True,False,31.92361111,74
20.11.2019,11,20,False,True,False,32.03135889,74
21.11.2019,11,21,False,True,False,33.1875,76
22.11.2019,11,22,False,True,False,33.52777778,76
23.11.2019,11,23,False,True,True,30.40972222,62
24.11.2019,11,24,False,True,True,24.99652778,54
25.11.2019,11,25,False,False,False,27.375,65
26.11.2019,11,26,False,False,False,30.80208333,67
27.11.2019,11,27,False,False,False,31.93402778,67
28.11.2019,11,28,False,False,False,29.70138889,65
29.11.2019,11,29,False,False,False,35.11805556,72
30.11.2019,11,30,False,False,True,29.34722222,62
1.12.2019,12,1,False,False,True,23.04929577,49
2.12.2019,12,2,False,False,False,28.93262411,69
3.12.2019,12,3,False,False,False,33.05555556,74
4.12.2019,12,4,False,False,False,39.79513889,69
5.12.2019,12,5,False,False,False,34.71875,74
6.12.2019,12,6,False,False,False,32.29166667,76
7.12.2019,12,7,False,False,True,28.51736111,60
8.12.2019,12,8,False,False,True,17.60416667,40
9.12.2019,12,9,False,False,False,28.15277778,65
10.12.2019,12,10,False,False,False,30.47569444,67
11.12.2019,12,11,False,False,False,32.61111111,80
12.12.2019,12,12,False,False,False,31.69444444,67
13.12.2019,12,13,False,False,False,34.28125,69
14.12.2019,12,14,False,False,True,30.57291667,62
15.12.2019,12,15,False,False,True,19.34722222,45
16.12.2019,12,16,False,False,False,28.88888889,69
17.12.2019,12,17,False,False,False,31.55555556,67
